"group","year","sector","max_abs_coefficient_difference","sum_energy_coefficient_base","sum_energy_coefficient_current","sum_energy_coefficient_price_form"
"road_transport",2050,"S52",3.3881317890172e-21,0.0595652007652238,0.0595652007652238,0.0595652007652238
"cities",2025,"S52",6.93889390390723e-18,0.0595652007652238,0.0595652007652238,0.0595652007652238
"cities",2025,"S53",1.73472347597681e-18,0.0171762717407245,0.0171762717407245,0.0171762717407245
"cities",2025,"S59",3.3881317890172e-21,0.00144215288624787,0.00144215288624787,0.00144215288624787
"cities",2025,"S66",1.73472347597681e-18,0.00994290371848788,0.00994290371848788,0.00994290371848788
"cities",2025,"S67",2.16840434497101e-19,0.00639128743119283,0.00639128743119283,0.00639128743119283
"cities",2025,"S68",0,0.0189431244946577,0.0189431244946577,0.0189431244946577
"cities",2025,"S69",8.67361737988404e-19,0.00653207461823273,0.00653207461823273,0.00653207461823273
"cities",2025,"S70",2.16840434497101e-19,0.0081228849806442,0.0081228849806442,0.0081228849806442
"cities",2030,"S52",8.67361737988404e-19,0.0595652007652238,0.0595652007652238,0.0595652007652238
"cities",2030,"S53",1.0842021724855e-19,0.0171762717407245,0.0171762717407245,0.0171762717407245
"cities",2030,"S59",2.16840434497101e-19,0.00144215288624787,0.00144215288624787,0.00144215288624787
"cities",2030,"S66",0,0.00994290371848788,0.00994290371848788,0.00994290371848788
"cities",2030,"S67",8.67361737988404e-19,0.00639128743119283,0.00639128743119283,0.00639128743119283
"cities",2030,"S68",0,0.0189431244946577,0.0189431244946577,0.0189431244946577
"cities",2030,"S69",8.67361737988404e-19,0.00653207461823273,0.00653207461823273,0.00653207461823273
"cities",2030,"S70",8.67361737988404e-19,0.0081228849806442,0.00812288498064421,0.0081228849806442
"cities",2035,"S52",0,0.0595652007652238,0.0595652007652238,0.0595652007652238
"cities",2035,"S53",2.16840434497101e-19,0.0171762717407245,0.0171762717407245,0.0171762717407245
"cities",2035,"S59",2.16840434497101e-19,0.00144215288624787,0.00144215288624787,0.00144215288624787
"cities",2035,"S66",8.67361737988404e-19,0.00994290371848788,0.00994290371848788,0.00994290371848788
"cities",2035,"S67",0,0.00639128743119283,0.00639128743119283,0.00639128743119283
"cities",2035,"S68",1.35525271560688e-20,0.0189431244946577,0.0189431244946577,0.0189431244946577
"cities",2035,"S69",1.35525271560688e-20,0.00653207461823273,0.00653207461823273,0.00653207461823273
"cities",2035,"S70",2.16840434497101e-19,0.0081228849806442,0.0081228849806442,0.0081228849806442
"cities",2040,"S52",4.33680868994202e-19,0.0595652007652238,0.0595652007652238,0.0595652007652238
"cities",2040,"S53",1.73472347597681e-18,0.0171762717407245,0.0171762717407245,0.0171762717407245
"cities",2040,"S59",0,0.00144215288624787,0.00144215288624787,0.00144215288624787
"cities",2040,"S66",1.73472347597681e-18,0.00994290371848788,0.00994290371848788,0.00994290371848788
"cities",2040,"S67",0,0.00639128743119283,0.00639128743119283,0.00639128743119283
"cities",2040,"S68",1.0842021724855e-19,0.0189431244946577,0.0189431244946577,0.0189431244946577
"cities",2040,"S69",2.71050543121376e-20,0.00653207461823273,0.00653207461823273,0.00653207461823273
"cities",2040,"S70",1.0842021724855e-19,0.0081228849806442,0.0081228849806442,0.0081228849806442
"cities",2045,"S52",0,0.0595652007652238,0.0595652007652238,0.0595652007652238
"cities",2045,"S53",0,0.0171762717407245,0.0171762717407245,0.0171762717407245
"cities",2045,"S59",3.3881317890172e-21,0.00144215288624787,0.00144215288624787,0.00144215288624787
"cities",2045,"S66",1.0842021724855e-19,0.00994290371848788,0.00994290371848788,0.00994290371848788
"cities",2045,"S67",0,0.00639128743119283,0.00639128743119283,0.00639128743119283
"cities",2045,"S68",2.71050543121376e-20,0.0189431244946577,0.0189431244946577,0.0189431244946577
"cities",2045,"S69",0,0.00653207461823273,0.00653207461823273,0.00653207461823273
"cities",2045,"S70",5.42101086242752e-20,0.0081228849806442,0.0081228849806442,0.0081228849806442
"cities",2050,"S52",0,0.0595652007652238,0.0595652007652238,0.0595652007652238
"cities",2050,"S53",0,0.0171762717407245,0.0171762717407245,0.0171762717407245
"cities",2050,"S59",0,0.00144215288624787,0.00144215288624787,0.00144215288624787
"cities",2050,"S66",2.16840434497101e-19,0.00994290371848788,0.00994290371848788,0.00994290371848788
"cities",2050,"S67",1.0842021724855e-19,0.00639128743119283,0.00639128743119283,0.00639128743119283
"cities",2050,"S68",0,0.0189431244946577,0.0189431244946577,0.0189431244946577
"cities",2050,"S69",2.71050543121376e-20,0.00653207461823273,0.00653207461823273,0.00653207461823273
"cities",2050,"S70",0,0.0081228849806442,0.0081228849806442,0.0081228849806442
